Results from heasarc_actszclust: Atacama Cosmology Telescope DR5 Sunyaev-Zeldovich Cluster Catalog
Coordinate system: Equatorial
|name               |ra         |dec        |snr     |y_c       |y_c_error |redshift|redshift_error|mass_500c|mass_500c_pos_err|mass_500c_neg_err|mass_200m|mass_200m_pos_err|mass_200m_neg_err|
|ACT-CL J2232.5-5959|22 32 33.14|-59 59 13.4| 7.13786|1.3559e-04|1.8996e-05|0.594800|      0.000000|  3.47218|          0.65505|          0.55108|  6.06031|          1.14332|          0.96186|
|ACT-CL J0115.3-5958|01 15 19.27|-59 58 48.3| 6.69532|8.6118e-05|1.2862e-05|0.395649|      0.010703|  3.21006|          0.66651|          0.55191|  5.77569|          1.19921|          0.99303|
|ACT-CL J0000.7-5957|00 00 43.96|-59 57 30.0| 4.30735|1.7397e-04|4.0389e-05|0.489200|      0.020849|  2.01960|          0.52395|          0.41602|  3.53286|          0.91654|          0.72774|
|ACT-CL J2201.8-5956|22 01 52.37|-59 56 55.4|13.22822|1.2700e-04|9.6010e-06|0.097200|      0.000000|  6.15737|          1.60276|          1.27173| 12.52507|          3.26028|          2.58691|
|ACT-CL J0522.5-5956|05 22 33.96|-59 56 44.6| 4.60400|1.4381e-04|3.1235e-05|0.570800|      0.021991|  2.28765|          0.53459|          0.43333|  3.96715|          0.92706|          0.75146|
|ACT-CL J0535.0-5956|05 35 04.41|-59 56 18.0| 4.43115|1.8897e-04|4.2647e-05|0.620000|      0.042130|  2.35315|          0.55790|          0.45098|  4.06137|          0.96290|          0.77836|
|ACT-CL J0151.4-5954|01 51 28.55|-59 54 13.3| 6.01806|6.0145e-05|9.9940e-06|0.948200|      0.027275|  2.66915|          0.50574|          0.42518|  4.55448|          0.86296|          0.72550|
|ACT-CL J2154.8-5953|21 54 48.62|-59 53 15.7| 5.80705|1.0154e-04|1.7485e-05|0.907400|      0.026704|  2.98411|          0.57521|          0.48225|  5.10471|          0.98396|          0.82495|
|ACT-CL J0641.5-5950|06 41 33.65|-59 50 04.8| 6.39767|2.2300e-04|3.4856e-05|0.518100|      0.039070|  3.34545|          0.67796|          0.56372|  5.89209|          1.19404|          0.99284|
|ACT-CL J0209.0-5946|02 09 00.50|-59 46 22.7| 4.27958|7.8213e-05|1.8276e-05|0.886252|      0.015928|  2.07600|          0.46755|          0.38161|  3.52468|          0.79383|          0.64790|
|ACT-CL J0240.6-5946|02 40 37.99|-59 46 00.4|10.02581|1.1673e-04|1.1643e-05|0.400000|      0.000000|  4.52926|          0.85818|          0.72148|  8.20916|          1.55544|          1.30767|
|ACT-CL J0106.4-5942|01 06 27.96|-59 42 59.7| 7.90477|9.1804e-05|1.1614e-05|0.348100|      0.000000|  3.50581|          0.71046|          0.59074|  6.39282|          1.29552|          1.07722|
|ACT-CL J0052.8-5942|00 52 51.69|-59 42 37.7| 5.30637|5.7424e-05|1.0822e-05|1.040000|      0.028560|  2.40723|          0.47590|          0.39734|  4.10293|          0.81112|          0.67724|
|ACT-CL J2337.4-5942|23 37 24.62|-59 42 25.1|16.85087|5.5226e-04|3.2773e-05|0.775000|      0.000000|  6.16585|          0.99858|          0.85940| 10.75724|          1.74217|          1.49934|
|ACT-CL J0611.3-5937|06 11 18.00|-59 37 45.1| 4.75444|4.8723e-05|1.0248e-05|0.390000|      0.030160|  2.41387|          0.60330|          0.48267|  4.31986|          1.07966|          0.86378|
|ACT-CL J0124.7-5937|01 24 46.89|-59 37 39.9| 4.43114|4.5429e-05|1.0252e-05|0.207810|      0.004086|  1.99885|          0.56404|          0.43991|  3.75513|          1.05963|          0.82643|
|ACT-CL J2154.7-5936|21 54 46.12|-59 36 27.6| 5.62868|2.5360e-04|4.5055e-05|0.434067|      0.009705|  3.02758|          0.65642|          0.53945|  5.39679|          1.17009|          0.96160|
|ACT-CL J2034.1-5936|20 34 11.74|-59 36 08.8| 7.01242|9.9890e-05|1.4245e-05|0.894020|      0.015380|  3.44361|          0.62157|          0.52653|  5.90993|          1.06675|          0.90364|
|ACT-CL J0243.9-5936|02 43 58.01|-59 36 07.4| 4.13686|3.9918e-05|9.6494e-06|0.226634|      0.004835|  1.88133|          0.56601|          0.43511|  3.50529|          1.05459|          0.81069|
|ACT-CL J0317.2-5935|03 17 15.62|-59 35 10.7| 5.79520|8.0257e-05|1.3849e-05|0.469000|      0.000000|  2.69872|          0.57158|          0.47168|  4.76725|          1.00968|          0.83321|
|ACT-CL J0231.8-5934|02 31 53.61|-59 34 18.4| 4.84157|1.5228e-04|3.1453e-05|0.948626|      0.024058|  2.36778|          0.49162|          0.40710|  4.02994|          0.83674|          0.69288|
|ACT-CL J0243.4-5931|02 43 24.44|-59 31 02.2| 6.55022|1.0460e-04|1.5968e-05|0.635200|      0.000000|  3.27931|          0.63750|          0.53374|  5.69284|          1.10669|          0.92656|
|ACT-CL J1914.6-5928|19 14 38.24|-59 28 02.2|11.54140|1.3767e-04|1.1929e-05|0.263600|      0.000000|  5.56082|          1.12691|          0.93702| 10.51565|          2.13102|          1.77193|
|ACT-CL J2205.0-5927|22 05 02.49|-59 27 13.2| 5.97777|6.9756e-05|1.1669e-05|0.353072|      0.008853|  3.03593|          0.67607|          0.55294|  5.50993|          1.22701|          1.00353|
|ACT-CL J0342.9-5925|03 42 58.83|-59 25 54.6| 5.02090|1.1331e-04|2.2567e-05|0.968600|      0.027560|  2.30981|          0.47383|          0.39318|  3.92956|          0.80611|          0.66889|
|ACT-CL J0422.7-5922|04 22 47.58|-59 22 48.2| 4.51883|1.6257e-04|3.5975e-05|0.764600|      0.024704|  2.09178|          0.47111|          0.38451|  3.56443|          0.80278|          0.65521|
|ACT-CL J0131.4-5921|01 31 27.84|-59 21 10.2| 6.25178|2.2900e-04|3.6630e-05|1.040000|      0.028560|  2.38743|          0.46215|          0.38720|  4.06845|          0.78756|          0.65983|
|ACT-CL J0119.7-5919|01 19 42.78|-59 19 43.4| 5.90324|8.1743e-05|1.3847e-05|0.581511|      0.008138|  2.70802|          0.54879|          0.45631|  4.70751|          0.95399|          0.79324|
|ACT-CL J0345.5-5913|03 45 35.00|-59 13 44.8| 4.23210|9.3617e-05|2.2121e-05|0.764600|      0.024704|  2.04479|          0.47263|          0.38390|  3.48270|          0.80499|          0.65386|
|ACT-CL J2337.5-5911|23 37 35.60|-59 11 59.8| 4.87966|1.4401e-04|2.9513e-05|0.609868|      0.009500|  2.43222|          0.53959|          0.44162|  4.20512|          0.93290|          0.76352|
|ACT-CL J0238.6-5911|02 38 36.36|-59 11 30.1| 4.97991|1.0660e-04|2.1406e-05|0.525231|      0.007094|  2.38250|          0.52856|          0.43259|  4.16003|          0.92290|          0.75533|
|ACT-CL J0135.9-5905|01 35 55.16|-59 05 26.3| 5.19895|7.5170e-05|1.4459e-05|0.495000|      0.037590|  2.51395|          0.55349|          0.45362|  4.41476|          0.97199|          0.79660|
|ACT-CL J0442.6-5905|04 42 37.01|-59 05 18.5| 7.33351|2.7592e-04|3.7625e-05|1.488800|      0.034843|  2.50531|          0.42182|          0.36103|  4.37757|          0.73706|          0.63084|
|ACT-CL J0354.2-5904|03 54 15.98|-59 04 46.4| 6.58548|6.2564e-05|9.5003e-06|0.405171|      0.010673|  2.80674|          0.59914|          0.49374|  5.02384|          1.07242|          0.88376|
|ACT-CL J0131.0-5904|01 31 03.75|-59 04 32.0| 5.94025|1.3115e-04|2.2078e-05|0.413628|      0.010678|  2.67467|          0.57318|          0.47203|  4.77365|          1.02300|          0.84246|
|ACT-CL J0121.3-5903|01 21 21.00|-59 03 30.0| 4.27301|1.6135e-04|3.7761e-05|0.540774|      0.009699|  1.99198|          0.50300|          0.40160|  3.45727|          0.87301|          0.69701|
|ACT-CL J0512.9-5902|05 12 59.00|-59 03 00.0| 4.12612|1.6291e-04|3.9483e-05|0.570800|      0.021991|  2.04760|          0.51705|          0.41281|  3.54243|          0.89451|          0.71417|
|ACT-CL J0135.1-5902|01 35 09.60|-59 02 09.1| 4.43255|4.0194e-05|9.0679e-06|0.508500|      0.038670|  2.10623|          0.51556|          0.41418|  3.67675|          0.89998|          0.72301|
|ACT-CL J0040.5-5858|00 40 31.70|-58 58 43.7| 5.89326|5.5705e-05|9.4523e-06|0.382408|      0.010016|  2.56642|          0.56289|          0.46164|  4.60718|          1.01048|          0.82872|
|ACT-CL J0254.3-5857|02 54 19.53|-58 57 02.3|16.75567|1.4571e-04|8.6961e-06|0.438000|      0.000000|  5.67688|          1.01085|          0.85806| 10.26493|          1.82782|          1.55155|
|ACT-CL J2248.0-5855|22 48 05.98|-58 55 45.0| 4.73688|6.7812e-05|1.4316e-05|0.840293|      0.012574|  2.31459|          0.49215|          0.40585|  3.94204|          0.83820|          0.69122|
|ACT-CL J0026.2-5854|00 26 16.40|-58 54 41.9| 4.16500|3.6748e-05|8.8231e-06|0.589115|      0.008375|  1.97151|          0.49784|          0.39747|  3.40085|          0.85876|          0.68563|
|ACT-CL J2132.3-5854|21 32 23.91|-58 54 26.7| 5.00323|7.6098e-05|1.5210e-05|0.502148|      0.007549|  2.57705|          0.57388|          0.46936|  4.52300|          1.00723|          0.82378|
