source_number;name;ra;dec;snr;ir_contam_flag;nn_quality_flag;y5r500;y5r500_error;validation_status;redshift;redshift_source_name;mass_sz;mass_sz_pos_err;cosmology_sample_flag
   1;PSZ2 G000.04+45.13;229,1905;-1,0172; 6.75319;0;0,938825;0,00548159;0,0018995; 20; 0.119800;RXC J1516.5-0056; 3.962411;0,39329;1
   2;PSZ2 G000.13+78.04;203,5587;20,256; 9.25669;0;0,93932;0,00436085;0,00184025; 20; 0.171000;RXC J1334.1+2013; 5.122391;0,351061;1
   3;PSZ2 G000.40-41.86;316,0845;-41,3542; 9.70428;0;0,988699;0,00450769;0,00104687; 21; 0.165100;RXCJ2104.3-4120; 5.297053;0,32035;1
   4;PSZ2 G000.77-35.69;307,9728;-40,5987; 6.58179;0;0,985064;0,00160629;0,000516778; 21; 0.341600;RXCJ2031.8-4037; 6.333562;0,58988;1
   5;PSZ2 G002.04-22.15;291,3596;-36,5179; 5.12563;0;0,399731;0,00192778;0,000644426; -1;;;;;0
   6;PSZ2 G002.08-68.28;349,6324;-36,3326; 4.75040;0;0,911077;0,00312731;0,00159132; 20; 0.140000;ACO S 1109; 2.835297;0,370542;0
   7;PSZ2 G002.42+69.64;210,9933;15,6884; 4.62169;0;0,976674;0,00268569;0,00131046; 24; 0.180518;RMJ140358.9+154409.6; 3.510401;0,465839;0
   8;PSZ2 G002.77-56.16;334,6595;-38,8794; 9.19606;0;0,97515;0,00404779;0,00102807; 21; 0.141100;RXCJ2218.6-3853; 4.411132;0,29866;1
   9;PSZ2 G002.82+39.23;235,0152;-3,2851; 8.07308;0;0,952116;0,00970097;0,00263729; 21; 0.153300;RXCJ1540.1-0318; 5.736017;0,475538;0
  10;PSZ2 G002.88-22.45;292,0148;-35,8761; 4.80061;0;0,004082;0,00194268;0,000712163; -1;;;;;0
  11;PSZ2 G003.21-76.04;358,3512;-33,2932; 4.78953;0;0,837636;0,00103584;0,000384556; -1;;;;;0
  12;PSZ2 G003.91-42.03;316,4675;-38,7532; 9.33304;0;0,993977;0,00535817;0,00111078; 21; 0.152100;RXCJ2106.0-3846; 4.716204;0,321887;1
  13;PSZ2 G003.93-59.41;338,6081;-37,7413;17,35802;0;0,996898;0,00566285;0,000719787; 21; 0.151000;RXCJ2234.5-3744; 7.194754;0,263986;1
  14;PSZ2 G004.04+42.23;233,2733;-0,6754; 4.75789;0;0,926048;0,0032092;0,00179117; 24; 0.151272;RMJ153303.5-004616.5; 3.592052;0,465211;0
  15;PSZ2 G004.13+56.81;221,8651;8,4517; 6.75999;0;0,984064;0,00308855;0,000930312; 20; 0.380000;RXC J1447.4+0827; 7.122818;0,643275;1
  16;PSZ2 G004.45-19.55;289,2667;-33,5416; 9.06547;0;0,985599;0,00196385;0,00036027; 20; 0.540000;;10,356931;0,677135;1
  17;PSZ2 G005.91-28.26;299,8069;-34,8918; 5.98316;0;0,997078;0,00229145;0,000889302; 21; 0.172800;RXCJ1959.1-3454; 4.286492;0,387097;0
  18;PSZ2 G006.05+29.43;244,4061;-7,2625; 5.09372;0;0,935909;0,00178547;0,000742856; 20; 0.252300;RXC J1617.6-0714; 5.515037;0,647036;0
  19;PSZ2 G006.16-69.49;350,5375;-34,5752; 4.55340;0;0,92553;0,0013319;0,000683665; -1;;;;;0
  20;PSZ2 G006.38+62.03;218,308;12,4863; 5.65158;0;0,989402;0,00136098;0,000424082; 24; 0.235712;RMJ143312.4+122756.8; 4.813953;0,554516;0
  21;PSZ2 G006.49+50.56;227,7289;5,7681;23,17088;0;0,992896;0,0229633;0,00211504; 21; 0.076600;A2029; 7.039484;0,199073;1
  22;PSZ2 G006.68-35.55;308,7059;-35,8251;11,85154;0;0,981821;0,0117188;0,00215168; 21; 0.089400;RXCJ2034.7-3548; 4.166683;0,232628;1
  23;PSZ2 G006.76+30.45;243,9549;-6,1524;35,01054;0;0,994178;0,0235336;0,00163328; 21; 0.203000;RXCJ1615.7-0608;16,116468;0,296833;0
  24;PSZ2 G006.82-34.71;307,711;-35,5641; 5.02210;0;0,92593;0,00174992;0,000802183; 21; 0.139800;RXCJ2030.7-3532; 3.152574;0,402348;0
  25;PSZ2 G006.84+50.69;227,7552;6,022; 5.73192;0;0,980618;0,0367845;0,00759671; 13; 0.075728;; 1.844416;0,742635;0
