#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-14T19:27:36 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-14T19:27:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-order=I&-c.r=  2&-c.geom=r&-out.src=J/A+A/685/A106/emain&-source=J/A+A/685/A106/emain&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Exp&-out=zBest&-out=CR500&-out=CTS500&-out=F500&-out=L500&-out=KT&-out=Mgas500&-out=YX500&-out=M500&-out=Fgas500&-out=R500&-out.max=1000&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36850106
#Name: J/A+A/685/A106
#Title: eRASS. Galaxy clusters and groups in WGH (Bulbul+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/685/a106	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/685/a106	    IVOID of underlying data collection
#INFO	creator=Bulbul E.	    First author or institution
#INFO	cites=bibcode:2024A&A...685A.106B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/685/A106	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36850106	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_685_A106_emain:
#Name: J/A+A/685/A106/emain
#Title: Primary galaxy clusters and groups catalog
#Column	Name	(A23)	Source name, 1eRASS JHHMMSS.s+DDMMSS	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F15.11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	Declination J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Exp	(F6.1)	Average exposure	[ucd=time.expo]
#Column	zBest	(F7.4)	Best available redshift	[ucd=src.redshift]
#Column	CR500	(F8.3)	0.2-2.3keV count rate within R500	[ucd=phot.count;em.X-ray]
#Column	CTS500	(F8.1)	0.2-2.3keV counts within R500	[ucd=phot.count;em.X-ray]
#Column	F500	(F10.3)	? 0.2-2.3keV flux within R500	[ucd=phot.flux;em.X-ray]
#Column	L500	(F9.3)	? 0.2-2.3keV luminosity within R500	[ucd=phys.luminosity;em.X-ray]
#Column	KT	(F6.2)	? Temperature measured by MBProj2D	[ucd=phys.temperature]
#Column	Mgas500	(F7.2)	? Calibrated cluster gas mass within R500	[ucd=phys.mass]
#Column	YX500	(F8.2)	? The mass proxy within R500	[ucd=phys.mass]
#Column	M500	(F7.2)	? CLuster total mass M500 from eROCOP	[ucd=phys.mass]
#Column	Fgas500	(F6.3)	? Cluster gas mass fraction within R500	[ucd=phys.mass]
#Column	R500	(I5)	? Overdensity radius R500 from eROCOP	[ucd=phys.size.radius]
Name;RAJ2000;DEJ2000;Exp;zBest;CR500;CTS500;F500;L500;KT;Mgas500;YX500;M500;Fgas500;R500
 ;deg;deg;s; ;ct/s;ct;mW/m2;10+35J;keV;10+11Msun;10+11keV.Msun;10+13Msun; ;kpc
-----------------------;---------------;---------------;------;-------;--------;--------;----------;---------;------;-------;--------;-------;------;-----
1eRASS J000005.2-383729;000.02172966698;-38.62490305507;  94.8; 0.3153;   0.509;    48.2;    47.110;  140.172;  1.90; 279.16;  553.19;  36.07; 0.075;  971
1eRASS J000021.4-824954;000.08919076583;-82.83171519255; 184.2; 0.0891;   1.029;   189.5;    98.355;   24.747;      ; 111.92;    0.00;  16.99; 0.065;  819
1eRASS J000031.0-500903;000.12942190862;-50.15101274604; 117.3; 0.0681;   0.258;    30.3;    23.991;    2.862;  1.79;   1.92;    9.34;   3.63; 0.009;  493
1eRASS J000031.8-630131;000.13271221025;-63.02528551369; 139.6; 0.2448;   0.356;    49.6;    33.228;   57.877;      ; 171.95;    0.00;  22.04; 0.076;  846
1eRASS J000045.3-462341;000.18907961210;-46.39487380084; 109.5; 0.0925;   0.190;    20.8;    16.818;    3.996;  0.96;   6.40;   11.17;   3.78; 0.019;  495
1eRASS J000056.7-682010;000.23649684855;-68.33622525809; 158.6; 0.2415;   0.204;    32.4;    18.012;   34.280;  1.17;  80.88;  110.99;  14.25; 0.054;  732
1eRASS J000104.0-464435;000.26697432365;-46.74311216673; 111.9; 0.1720;   0.754;    84.4;    71.665;   57.547;      ; 148.84;    0.00;  23.84; 0.060;  891
1eRASS J000104.1-431959;000.26745742029;-43.33321134840;  99.8; 0.0381;   0.212;    21.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000105.4-380934;000.27271272017;-38.15951107702;  94.3; 0.3040;   0.203;    19.1;    19.300;   54.051;      ; 153.10;    0.00;  16.50; 0.090;  751
1eRASS J000107.3-804612;000.28076207210;-80.77005600091; 179.9; 0.2062;   0.004;     0.7;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000107.5-484301;000.28138581421;-48.71697177623; 115.3; 0.3247;   0.388;    44.7;    35.156;  121.977;      ; 213.27;    0.00;  29.50; 0.066;  905
1eRASS J000109.0-332939;000.28750699283;-33.49434692985;  81.3; 0.6293;   0.250;    20.3;    23.432;  325.319;      ; 216.23;    0.00;  37.72; 0.060;  872
1eRASS J000130.9-455732;000.37886460410;-45.95907288486; 104.4; 0.1846;   0.176;    18.3;    16.576;   15.501;      ;  31.46;    0.00;   7.76; 0.041;  610
1eRASS J000137.0-625826;000.40429340978;-62.97394374182; 138.2; 0.2301;   0.209;    28.8;    19.004;   32.652;      ;  29.00;    0.00;  12.63; 0.025;  706
1eRASS J000154.0-365735;000.47527713050;-36.95993062632;  90.9; 0.3354;   0.134;    12.2;    12.617;   44.415;      ;  17.81;    0.00;  14.32; 0.014;  708
1eRASS J000155.3-561443;000.48058361410;-56.24541117923; 131.6; 0.3804;   0.223;    29.4;    21.459;   94.090;      ; 174.70;    0.00;  24.34; 0.068;  831
1eRASS J000155.6-560812;000.48199865330;-56.13692414226; 132.4; 0.2915;   0.291;    38.5;    27.519;   70.637;      ; 173.60;    0.00;  23.54; 0.068;  850
1eRASS J000203.6-481447;000.51522760969;-48.24645229225; 119.4; 0.1635;   0.329;    39.2;    30.741;   23.242;      ;  79.72;    0.00;  11.14; 0.069;  694
1eRASS J000205.7-713020;000.52391705503;-71.50558575067; 153.8; 0.5258;   0.215;    33.0;    20.157;  207.797;      ; 278.63;    0.00;  33.90; 0.080;  877
